"Hafîziyet","Allah'ın herşeyi koruyup saklaması"
"suret","şekil, biçim"
"tecellî","görünme, yansıma"
"mevcudat","varlıklar"
"Mâlik","herşeyin sahibi olan Allah"
"mülk","sahip olunan ve hükmedilen yer"
"cereyan","meydana gelen"
"inzibat","güvenlik ve düzen"
"ihtimam","özen, önem verme"
"hâkimiyet","egemenlik, hükümranlık"
"nihayet","son"
"Rububiyet-i saltanat","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"ihtimam","özen, önem verme"
"mülk","sahip olunan ve hükmedilen yer"
"cereyan","meydana gelen"
"suret","şekil, biçim"
"müteaddit","çeşitli, birçok"
"hıfz","koruma, saklama"
"Hafîziyet","Allah'ın herşeyi koruyup saklaması"
"muhasebe-i a'mâl","yapılan işlerden hesaba çekilme, sorgulanma"
"bilhassa","özellikle"
"mahiyetçe","nitelikçe, özellikçe"
"mükerrem","ikram edilen, saygı gösterilen"
"müşerref","şerefli, değerli"
"mahlûk","yaratık"
"amel","iş, davranış"
"mizan","tartı, terazi"
"sahife-i amel","amellerin yazıldığı sahife"
"neşredilecek","yayımlanmak"
"kabil","mümkün, olabilir"
"hilâfet","halifelik; yeryüzünde Allah'ın izni dairesinde ve Onun adına icraatta bulunma şeklinde, insana verilen görev"
"emanet","insanın yüklendiği İlâhî görevler, yükümlülükler"
"mükerrem","ikram edilen, saygı gösterilen"
"Rububiyet","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"külliyât-ı şuûn","Allah'ın herşeyi kuşatan işleri ve icraatları"
"kesret","çokluk"
"vahdâniyet-i İlâhiye","Allah'ın birliği, ortağının ve benzerinin olmayışı"
"dellâl","rehber, ilan edici"
"ekser","pekçok"
"mevcudat","varlıklar"
"tesbihat","Allah'ı noksan sıfatlardan yüce tutan sözler"
"zabitlik","gözeticilik"
"müşahitlik","gözlemcilik"
"amel","iş, davranış"
"sual","sorguya çekilmek"
"mahşer","kıyametten sonra insanların tekrar diriltilip toplanacakları yer"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"mümkinât","olması imkan dahilinde olan şeyler"
"kàdir","gücü yeten, iktidar sahibi"
"vukuat","meydana gelmiş olaylar"
"muhasebe","hesaba çekme, sorgulama"
"saadet-i uzmâ","en büyük mutluluk"
"Vaad","Allah'ın mükafat için söz vermesi"
"Vaîd","Allah'ın azap ve cezayla korkutması"
"Alîm-i Mutlak","ilmi herşeyi kuşatan, sınırsız ilim sahibi Allah"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"masnuat","sanat eseri varlıklar"
"Sâni","herşeyi sanatla yaratan Allah"
"enbiya","peygamberler"
"tevatür","çeşitli kanallardan gelen ve doğruluğu kesin olarak kanıtlanan haber"
"sıddıkîn","daima doğruluk üzere ve Allah'a ve peygambere sadakatte en ileride olanlar"
"evliya","veliler, Allah dostları"
"icmâ","fikir birliği"
"mükerrer","tekrar tekrar"
"vaad ve vaîd-i İlâhî","Cenab-ı Allah'ın mükafat için söz vermesi ve azapla korkutması"
"hâşâ","asla, öyle değil"
"acz","acizlik, güçsüzlük"
"cehl","cahillik, bilgisizlik"
"vaad","söz vermek"
"kudret","güç, iktidar"
"mevcudat","varlıklar"
"Haşiye 1 kısm","dipnot, açıklayıcı not"
"mislen","benzer olarak"
"İfa-yı vaad","sözünü yerine getirmek"
"saltanat-ı Rububiyet","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"Hulfü'l-vaad","verdiği sözden dönme"
"izzet-i iktidar","herşeyi idaresi altında bulunduran Allah'ın izzet ve şerefi"
"ihata-i ilmiye","Allah'ın herşeyi kuşatan ilmi"
"münafi","zıt"
"hulf","verdiği sözü tutmama"
"vaad","söz vermek"
"acz","acizlik, güçsüzlük"
"münkir","inkâr eden"
"küfür","inanmama, kabul etmeme"
"vehm","kuruntu, zan"
"hezeyancı","saçmalayan"
"nefs","insanı maddî zevk ve isteklere sevk eden kuvvet"
"tasdik","doğrulama, onaylama"
"vech","yön, şekil"
"hulf","verdiği sözü tutmama"
"hilâf","yalan, cayma"
"vech","yön, şekil"
"hilâf","yalan, cayma"
"izzet","şeref, yücelik"
"haysiyet","itibar, şeref"
"sıdk","doğruluk"
"hakkaniyet","doğruluk"
"tekzip","yalanlamak"
"ebedî","sonsuz"
"müstehak","layık"
"ehl-i Cehennem","Cehennem ehli"
"mikyas","ölçek"
"ziya","ışık"
"Vehm","kuruntu, zan"
"tenvir","nurlandırma, aydınlatma"
"mevcudat","varlıklar"
"hak","doğru"
"sadık","dos doğru"
"hâdisât-ı kâinat","kâinatta meydana gelen olaylar"
"nâtık","konuşan"
"âyet","delil, Allah'ın varlığına işaret eden şey"
"vaad","söz vermek"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"saadet-i uzmâ","en büyük mutluluk"
"Bâb","kapı"
"İmâte","öldürme"
"Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Allah"
"Muhyî","bütün canlılara hayat veren Allah"
"Mümît","ölümü yaratan, can verdiği varlıkları vakti gelince öldüren Allah"
"cilve","yansıma, görüntü"
"arz","yer, dünya"
"ihyâ","diriltme, hayat verme"
"ihyâ","diriltme, hayat verme"
"beşer haşri","insanların öldükten sonra âhirette tekrar diriltilerek Allah huzurunda toplanmaları"
"acip","şaşırtıcı, hayret verici"
"ziyade","çok, fazla"
"envâ-ı mahlûkat","yaratılmışların türleri, çeşitleri"
"kudret","güç, kuvvet, iktidar"
"haşir ve neşir","yeniden diriltip toplamak ve yaymak"
"nihayet","son"
"ihtilât","karışıklık"
"nihayet","son"
"imtiyaz","ayrıcalık"
"tefrik","fark, ayırma"
"ihata-i ilmiye","ilminin kuşatıcılığı ve genişliği"
"semavî ferman","vahiyle gelmiş emir ve tebliğler"
"vaad","söz vermek"
"ibâd","kullar"
"enzâr","bakışlar"
"saadet-i ebediye","sonsuz mutluluk"
"mevcudat","varlıklar"
"irade","dileme, tercih, istek"
"musahhar kılmak","boyun eğdirmek"
"azamet-i Rububiyet","Rablığın büyüklüğü; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"şecere-i kâinat","kâinat ağacı"
"cami'","kapsamlı"
"nazik","ince, zarif"
"nazenin","ince, narin, duyarlı"
"nazdar","nazlı"
"niyazdar","dua eden, yalvarıp yakaran"
"ittihaz","edinme, kabullenme"
"musahhar kılmak","boyun eğdirmek"
"Kadîr-i Rahîm","sonsuz şefkat ve merhamet sahibi ve herşeye gücü yeten Allah"
"Alîm-i Hakîm","herşeyi hakkıyla bilen ve hikmetle yaratıp donatan Allah"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"ihyâ","diriltme, hayat verme"
"Mahkeme-i Kübrâ","öldükten sonra âhirette Allah'ın huzurunda kurulacak olan büyük mahkeme"
"Hâşâ ve kellâ","asla ve asla, kesinlikle öyle değil"
"âlem","dünya"
"Mutasarrıf-ı Zîşân","şan ve şeref sahibi ve herşeyde istediği gibi tasarruf eden Allah"
"muvakkat","geçici"
"rû-yi zemin","yeryüzü"
"haşr-i ekber","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"meydan-ı kıyamet","kıyamet meydanı"
"emsal","benzerler, örnekler"
"nümune","örnek"
"işârât","işaretler"
"icad","yaratma, var etme"
"Ezcümle","özetle"
"Haşr-i baharî","bahar mevsiminde bitkilerin ve hayvanların dirilişi"
"hayvanat","hayvanlar"
"nebatat","bitkiler"
"ziyade","çok, fazla"
"envâ","çeşitler, türler"
"ihyâ","diriltme, hayat verme"
"ayniyet","aynılık, aynı oluş"
"misliyet","benzerlik"
"suret","şekil"
"icad","yaratma, var etme"
"kemâl-i imtiyaz ve teşhis","mükemmel bir seçme ve ayırma"
"sür'at","hız"
"vüs'at","genişlik"
"suhulet","kolaylık"
"kemâl-i intizam ve mizan","mükemmel bir düzen ve ölçü"
"ihya","diriltme, hayat verme"
"kabil","mümkün, olabilir"
"semâvât","gökler"
"arz","yer"
"halk","yaratmak"
"sayha","sesleniş"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"Hâşâ","asla öyle değil"
"muciznümâ","mu'cize gösteren"
"kâtip","yazar"
"huruf","harfler"
"mahvolmuş","yok olmak"
"galatsız","yanlışsız, hatasız"
"sehivsiz","yanılmadan, şaşırmadan"
"suret","şekil"
"kâtip","yazar"
"telif","yazmak"
"sultan-ı mucizekâr","mu'cize gösteren sultan"
"iktidar","güç, kudret"
"ibret","ders çıkarma"
"tenezzüh","gezinti"
"tebdil","değiştirmek"
"teşkil","meydana getirmek"
"efrad","fertler"
"istirahat","dinlenme"
"tabur","bir askerî birlik"
"tabur","bir askerî birlik"
"nizam","düzen, kanun"
"divanece","akılsızca"
"temsil","analoji; kıyaslama tarzında benzetme"
"fehm","anlamak"
"Nakkâş-ı Ezelî","herşeyi zâtına has olarak nakış nakış işleyen ve evveli olmayan Allah"
"rû-yi arz","yeryüzü"
"ziyade","çok, fazla"
"envâ","çeşitler, türler"
"kudret ve kader kalemi","Allah'ın olacak hadiseleri olmadan önce bilip yazması, takdir etmesi ve yaratması"
"ahsen-i suret","en güzel şekil"
"mani","engel"
"Teşkilce","meydana gelişiyle, oluşuyla"
"suretçe","şekilce"
"derc","yerleştirmek"
"muhafaza","koruma"
"Zât-ı Hakîm-i Hafîz","herşeyi koruyup saklayan ve hikmetli bir şekilde yapan Zât, Allah"
"küre-i arz","yerküre, dünya"
"Zât-ı Kadîr","herşeye gücü yeten, sonsuz güç ve kudret sahibi Allah"
"âhiret","öteki dünya"
"arz","yer, dünya"
"zîhayat","canlı"
"kemâl-i intizam","mükemmel bir düzen"
"zerrât","zerreler, atomlar"
"icad","yaratma, var etme"
"Zât-ı Zülcelâl","sonsuz haşmet ve yücelik sahibi Zât, Allah"
"tabur-misal","tabur gibi"
"nizam","düzen"
"zerrât-ı esasiye","temel zerreler"
"eczâ-yı asliye","esas parçalar"
"sayha","sesleniş"
"bahar haşri","bahar mevsiminde bitkilerin ve hayvanların dirilişi"
"tebdil","değişme"
"cevv-i hava","hava boşluğu"
"icad","yaratma, var etme"
"ifnâ","öldürme, yok etme"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"nümune","örnek"
"misal","örnek, benzer"
"emare","belirti, işaret"
"farz","varsaymak"
"cenah","taraf, yön"
"mazi","geçmiş"
"müstakbel","gelecek"
"misal-i haşir","haşrin benzeri"
"kıyamet","dünyanın sonu, varlığın bozulup dağılması"
"nümune","örnek"
"nümune","örnek"
"misal","örnek, benzer"
"müşahede","görmek, gözlemlemek"
"haşr-i cismânî","âhirette tekrar bedenlerin ve vücudların dirilişi"
"istib'âd","akıldan uzak görme"
"inkâr","kabul etmeme, inanmama"
"divanelik","akılsızlık"
"Ferman-ı Âzam","en büyük buyruk olan Kur'ân-ı Kerim"
"Elhasıl","özetle, sonuç olarak"
"Haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"mâni","engel"
"Muktazî","gerekçe, gerektirici sebep"
"mahşer-i acaip","şaşkınlık veren şeylerin toplandığı yer"
"arz","yer, dünya"
"âdi","sıradan, basit"
"imâte","öldürme"
"ihyâ","diriltme, hayat verme"
"beşer","insan"
"seyyârât","gezegenler"
"tayyare","uçak"
"muhteşem","ihtişamlı, görkemli"
"sermedî","devamlı, sürekli"
"Rububiyet","Rablık; Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"muazzam","azametli, çok büyük"
"muhît","kapsamlı, kuşatıcı"
"mütegayyir","değişen"
"nâkıs","eksik, noksan"
"tekemmülsüz","olgunlaşmamış"
"umûr-u dünya","dünya işleri"
"şayeste","layık"
"zevâlsiz","devamlı, yok olmayan"
"muhteşem","ihtişamlı, görkemli"
"zahir","görünür"
"kurb-u huzur","huzura yakınlık"
"müşerref","şereflenen"
"kulûb-u münevvere aktâbı","nurlu kalplerin kutupları, veliler gibi"
"ukul-u nuraniye erbabı","aydın akılların erbabı, âlimler gibi"
"mükâfat","ödül"
"mücazat","ceza"
"ihzar","hazırlamak"
"müttefikan","ittifakla, birleşerek"
"mükerreren","tekrarla, defalarca"
"vaad","söz verme"
"zillet","alçaklık, aşağılık"
"tezellül","alçalma"
"küfür","inkâr, inançsızlık"
"kabil","mümkün, olabilir"
"Kadîr-i Mutlak","herşeye gücü yeten, sınırsız güç ve kudret sahibi Allah"
"münezzeh","her türlü kusur ve noksandan arınmış"
"mukaddes","her türlü çirkinlik ve eksiklikten yüce, kutsal"
"muhbir","haber veren"
"meslek","hizmet yolu, ekolü"
"meşrep","tarz, usül"
"mezhep","tutulan yol, ekol"
"muhtelif","çeşitli, farklı"
"kemâl-i ittifak","tam ve mükemmel birlik"
"müttehid","birleşmiş"
"Kesret","çokluk"
"tevatür","doğruluğu kesin olarak kanıtlanan haber"
"Keyfiyet","nitelik, içerik"
"icmâ","fikir birliği"
"Mevki","konum"
"nev-i beşer","insanlık"
"taife","topluluk, grup"
"aziz","şerefli, değerli, büyük"
"ehl-i ihtisas","sahasında uzman olan kimseler"
"ehl-i ispat","doğruyu ortaya çıkaran kimseler"
"fen","ilim"
"ehl-i ihtisas","sahasında uzman olan kimseler"
"müreccah","tercih edilir"
"ihbar","haber verme"
"müsbit","ispat edici"
"nâfî","yok edici, inkârcı"
"hilâl","yay şeklinde görülen yeni ay"
"sübut","meydana çıkma, gerçekleşme"
"ihbar eden","haber veren"
"münkir","inkârcı"
"Elhasıl","özetle, sonuç olarak"
"zahir","açık, âşikar"
"hakikat","gerçek, doğru"
"mezraa","tarla"
"Mahşer","haşir meydanı, toplanma yeri"
"beyder","harman yeri"
"mahzen","erzak yeri, içinde eşya saklanacak yer"
"HAKİKAT","gerçek, doğru"
"Bâb","kapı"
"İnâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"Rahmet","şefkat, merhamet"
"Adalet","hak sahibine hakkını verme, haksızı terbiye etme ve cezalandırma"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"Kerîm","sonsuz ikram ve cömertlik sahibi Allah"
"Âdil","sonsuz adalet sahibi, adaletle iş gören, herşeyin hakkını veren Allah"
"Rahîm","sonsuz şefkat ve merhamet sahibi Allah"
"cilve","yansıma, görüntü"
"bekàsız","geçici, devamsız"
"misafirhane-i dünya","dünya misafirhanesi"
"meydan-ı imtihan","imtihan meydanı"
"sebatsız","sabit olmayan"
"teşhirgâh-ı arz","yeryüzü sergisi"
"bâhir","açık, görünen, berrak"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"zahir","açık, âşikar"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"kahir","üstün"
"adalet","hak sahibine hakkını verme, haksızı terbiye etme ve cezalandırma"
"vâsi","geniş"
"âsâr","eserler"
"Mâlikü'l-Mülk-i Zülcelâl","bütün mülkün gerçek sahibi, haşmet ve yücelik sahibi olan Allah"
"daire-i memleket","memleket dairesi"
"âlem-i mülk ve melekût","görünen ve görünmeyen âlem, herşeyin dış ve iç yüzü"
"daimî","devamlı, sürekli"
"mesken","oturulacak ve kalınacak yer"
"ebedî","sonsuz"
"bâki","devamlı, sürekli"
"mukim","ikamet eden, oturan"
"mahlûk","yaratık"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"inâyet","yardım, ikram; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"adalet","hak sahibine hakkını verme, haksızı terbiye etme ve cezalandırma"
"hakikat","gerçek mâhiyet, asıl ve esas, içyüz"
"kabil","mümkün, olabilir"
"Zât-ı Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Zât, Allah"
"mahlûkat","yaratıklar"
"küllî","büyük ve kapsamlı"
"cami'","kapsayıcı"
"âyine","ayna"
"hazâin-i rahmet","rahmet hazineleri"
"müştemilât","içindekiler"
"esmâ","isimler"
"biçare","çaresiz"
"ebedî","sonsuz"
"daimî","devamlı, sürekli"
"saadetgâh","mutluluk yeri"
"mes'ud","mutlu"
"makul","akla uygun"
"mevcud","varlık"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"semere","meyve"
"maslahat","fayda, yarar"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"maslahat","fayda, yarar"
"müteveccih","yönelik"
"hardal","çok küçük tohumları olan bir bitki"
"bekà","varlığın devamı"
"âlem-i mânâ","maddî gözle görünmeyen mânevî âlem"
"âlem-i âhiret","âhiret âlemi"
"mezra","tarla"
"hakikî","gerçek"
"ihtifâlât-ı mühimme","önemli merasimler"
"abes","anlamsız, faydasız"
"âlem-i mânâ","maddî gözle görünmeyen mânevî âlem"
"âlem-i âhiret","âhiret âlemi"
"hilâf-ı hakikat","gerçeğe aykırı"
"evsâf-ı hakikiye","gerçek özellikler"
"Hakîm","herşeyi hikmetle, belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"Kerîm","sonsuz ikram ve cömertlik sahibi Allah"
"Âdil","sonsuz adalet sahibi, adaletle iş gören, herşeyin hakkını veren Allah"
"Rahîm","sonsuz şefkat ve merhamet sahibi Allah"
"hâşâ, sümme hâşâ","asla ve asla, kesinlikle öyle değil"
"muttasıf","vasıflı"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"kerem","lütuf, ikram, cömertlik"
"adl","adalet"
"rahmet","şefkat, merhamet"
"delâlet","delil olma, işaret etme"
"kâinat","evren, yaratılmış herşey"
"hakaik","gerçekler"
"tekzip","yalanlama"
"mevcudat","varlıklar"
"masnuat","sanat eseri varlıklar"
"delâlet","delil olma, işaret etme"
"havas","duyular, hisler"
"ücret-i dünyeviye","dünyaya ait ücret"
"Adalet-i hakikiye","gerçek adalet"
"hikmet-i hakikiye","gerçek hikmet"
"münafi","zıt, aykırı"
"zîhayat","canlı"
"lisan","dil"
"uzv","organ"
"masnu","sanat eseri varlık"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"maslahat","fayda, yarar"
"Hakîm-i Mutlak","sınırsız hikmet sahibi, herşeyi belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde yaratan Allah"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"maslahat","fayda, yarar"
"elzem","çok lüzumlu"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"rahmet","şefkat, merhamet"
"rahmet","şefkat, merhamet"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"rahmet","şefkat, merhamet"
"maslahat","fayda, yarar"
"menba","kaynak"
"bekà","süreklilik, devamlılık"
"lika","kavuşma, buluşma"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
